BNT/USD,["HitBTC",,
BNTY/USD,["Gate.io"],Bounty0x,US Dollar
BNXr/USD,["Binance"],BinaryX,US Dollar
BOAT/USD,["Synthetic"],BOAT,US Dollar
BOK/USD,["Synthetic"],Blockium,US Dollar
BORA/USD,["Synthetic"],BORA,US Dollar
BOX/USD,["Synthetic"],ContentBox,US Dollar
BPCN/USD,["Synthetic"],Big Profit Coin,US Dollar
BPC/USD,["Synthetic"],Bitpark Coin,US Dollar
BPL/USD,["Synthetic"],Blockpool,US Dollar
BQ/USD,["Synthetic"],bitqy,US Dollar
BQX/USD,["Synthetic"],Voyager Token,US Dollar
BRAIN/USD,["Synthetic"],Braincoin,US Dollar
BRAT/USD,["Synthetic"],BROTHER,US Dollar
BRD/USD,["Synthetic"],Bread,US Dollar
BRIA/USD,["BTC-Alpha"],BriaCoin,US Dollar
BRIT/USD,["Synthetic"],BritCoin,US Dollar
BRK/USD,["Synthetic"],Breakout,US Dollar
BRO/USD,["Synthetic"],Bitradio,US Dollar
BRX/USD,["Synthetic"],Breakout Stake,US Dollar
BRZE/USD,["Synthetic"],Breezecoin,US Dollar
BSC/USD,["Synthetic"],BowsCoin,US Dollar
BSN/USD,["Synthetic"],Bastonet,US Dollar
BSR/USD,["Synthetic"],BitSoar,US Dollar
BSTAR/USD,["Synthetic"],Blackstar,US Dollar
BST/USD,["Synthetic"],BlockStamp,US Dollar
BSTY/USD,["Synthetic"],GlobalBoost-Y,US Dollar
BSV/USD,["Huobi",,
BSW/USD,["Binance",,
BTA/USD,["Synthetic"],Bata,US Dollar
BTBc/USD,["Synthetic"],Bitbase,US Dollar
BTB/USD,["Synthetic"],BitBar,US Dollar
BTC2X/USD,["Synthetic"],Bitcoin2x,US Dollar
BTCB/USD,["Synthetic"],Bitcoin BEP2,US Dollar
BTCM/USD,["YoBit"],BTCMoon,US Dollar
BTCP/USD,["Synthetic"],Bitcoin Private,US Dollar
BTCRED/USD,["YoBit"],Bitcoin Red,US Dollar
BTCR/USD,["Synthetic"],Bitcurrency,US Dollar
BTCST/USD,["Binance",,
BTCS/USD,["Synthetic"],Bitcoin Scrypt,US Dollar
BTC/USD,["Binance",,
BTCV/USD,["Coineal",,
BTCZ/USD,["BTC-Alpha",,
BTDX/USD,["Synthetic"],Bitcloud,US Dollar
BTE/USD,["Synthetic"],BitSerial,US Dollar
BTG/USD,["HitBTC",,
BTK/USD,["Synthetic"],Bitcoin Turbo Koin,US Dollar
BTMA/USD,["Synthetic"],Bitmark,US Dollar
BTM/USD,["Bibox",,
BTO/USD,["Gate.io"],Bottos,US Dollar
BTPL/USD,["Synthetic"],Bitcoin Planet,US Dollar
BTS/USD,["Binance",,
BTTN/USD,["Binance",,
BTT/USD,["Binance",,
BTUp/USD,["Synthetic"],BTU Protocol,US Dollar
BTW/USD,["Synthetic"],BitWhite,US Dollar
BTXN/USD,["Synthetic"],BTXN Coin,US Dollar
BTX/USD,["Hotbit"],BitCore,US Dollar
BUB/USD,["Synthetic"],Bubble,US Dollar
BUCKS/USD,["Synthetic"],SwagBucks,US Dollar
BUL/USD,["Synthetic"],Bulleon,US Dollar
BUMBA/USD,["Synthetic"],BumbaCoin,US Dollar
BUSD/USD,["Binance",,
BU/USD,["Gate.io",,
BUZZ/USD,["Synthetic"],BuzzCoin,US Dollar
BVC/USD,["Synthetic"],BeaverCoin,US Dollar
BWK/USD,["Synthetic"],Bulwark,US Dollar
BXC/USD,["Synthetic"],Bitcedi,US Dollar
BXT/USD,["Synthetic"],BitTokens,US Dollar
BYC/USD,["Synthetic"],Bytecent,US Dollar
BZE/USD,["Synthetic"],BZEdge,US Dollar
BZNT/USD,["Synthetic"],Bezant,US Dollar
BZX/USD,["Synthetic"],Bitcoin Zero,US Dollar
C20/USD,["Synthetic"],CRYPTO20,US Dollar
C2/USD,["Synthetic"],Coin2.1,US Dollar
C98/USD,["Binance"],Coin98,US Dollar
CAB/USD,["Synthetic"],Cabbage,US Dollar
CAG/USD,["Synthetic"],Change,US Dollar
CAKE/USD,["Binance",,
CALC/USD,["Synthetic"],CaliphCoin,US Dollar
CANN/USD,["Synthetic"],CannabisCoin,US Dollar
CAN/USD,["Synthetic"],CanYaCoin,US Dollar
CAPP/USD,["Synthetic"],Cappasity,US Dollar
CARBON/USD,["YoBit"],Carboncoin,US Dollar
CARD/USD,["Synthetic"],Cardstack,US Dollar
CASH/USD,["Synthetic"],Cashcoin,US Dollar
CAT/USD,["Synthetic"],BlockCAT,US Dollar
CBC/USD,["Coinsbit",,
CBD/USD,["Synthetic"],CBD Crystals,US Dollar
CBT/USD,["Synthetic"],CommerceBlock,US Dollar
CBXN/USD,["Synthetic"],Bullion,US Dollar
CBX/USD,["Synthetic"],Crypto Bullion,US Dollar
CCO/USD,["Synthetic"],Ccore,US Dollar
CCRB/USD,["Synthetic"],CryptoCarbon,US Dollar
CCT/USD,["Synthetic"],Crystal Clear,US Dollar
CDM/USD,["Synthetic"],Condominium,US Dollar
CDN/USD,["Synthetic"],Canada eCoin,US Dollar
CDT/USD,["Gate.io"],CoinDash,US Dollar
CDX/USD,["Synthetic"],CDX Network,US Dollar
